,BASP 코드,4단계,4단계명,근거(기본형→단계),근거(F→단계),근거(V→단계),한줄요약,권장 플로우
14,LF3V2,3,심화,L→0,F3→3,V2→2,앞머리선 변화 없음 (L) + 상부 전반 확산 (F3) + 정수리 희박 (V2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
15,LF3V3,3,심화,L→0,F3→3,V3→3,앞머리선 변화 없음 (L) + 상부 전반 확산 (F3) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
16,M0,0,정상,M0→0,,,측두부 후퇴 없음 (M0),기준선 유지: 분기별 동일 각도 기록
20,M0F1,1,초기,M0→0,F1→1,,측두부 후퇴 없음 (M0) + 상부 전반 확산 (F1),초기 추세확인: 월 1회 표준 촬영 + 생활요인 점검
24,M0F2,2,중기,M0→0,F2→2,,측두부 후퇴 없음 (M0) + 상부 전반 확산 (F2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
28,M0F3,3,심화,M0→0,F3→3,,측두부 후퇴 없음 (M0) + 상부 전반 확산 (F3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
17,M0V1,1,초기,M0→0,,V1→1,측두부 후퇴 없음 (M0) + 정수리 희박 (V1),초기 추세확인: 월 1회 표준 촬영 + 생활요인 점검
18,M0V2,2,중기,M0→0,,V2→2,측두부 후퇴 없음 (M0) + 정수리 희박 (V2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
19,M0V3,3,심화,M0→0,,V3→3,측두부 후퇴 없음 (M0) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
21,M0F1V1,1,초기,M0→0,F1→1,V1→1,측두부 후퇴 없음 (M0) + 상부 전반 확산 (F1) + 정수리 희박 (V1),초기 추세확인: 월 1회 표준 촬영 + 생활요인 점검
22,M0F1V2,2,중기,M0→0,F1→1,V2→2,측두부 후퇴 없음 (M0) + 상부 전반 확산 (F1) + 정수리 희박 (V2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
23,M0F1V3,3,심화,M0→0,F1→1,V3→3,측두부 후퇴 없음 (M0) + 상부 전반 확산 (F1) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
25,M0F2V1,2,중기,M0→0,F2→2,V1→1,측두부 후퇴 없음 (M0) + 상부 전반 확산 (F2) + 정수리 희박 (V1),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
26,M0F2V2,2,중기,M0→0,F2→2,V2→2,측두부 후퇴 없음 (M0) + 상부 전반 확산 (F2) + 정수리 희박 (V2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
27,M0F2V3,3,심화,M0→0,F2→2,V3→3,측두부 후퇴 없음 (M0) + 상부 전반 확산 (F2) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
29,M0F3V1,3,심화,M0→0,F3→3,V1→1,측두부 후퇴 없음 (M0) + 상부 전반 확산 (F3) + 정수리 희박 (V1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
30,M0F3V2,3,심화,M0→0,F3→3,V2→2,측두부 후퇴 없음 (M0) + 상부 전반 확산 (F3) + 정수리 희박 (V2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
31,M0F3V3,3,심화,M0→0,F3→3,V3→3,측두부 후퇴 없음 (M0) + 상부 전반 확산 (F3) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
32,M1,1,초기,M1→1,,,측두부 후퇴 (M1),초기 추세확인: 월 1회 표준 촬영 + 생활요인 점검
36,M1F1,1,초기,M1→1,F1→1,,측두부 후퇴 (M1) + 상부 전반 확산 (F1),초기 추세확인: 월 1회 표준 촬영 + 생활요인 점검
40,M1F2,2,중기,M1→1,F2→2,,측두부 후퇴 (M1) + 상부 전반 확산 (F2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
44,M1F3,3,심화,M1→1,F3→3,,측두부 후퇴 (M1) + 상부 전반 확산 (F3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
33,M1V1,1,초기,M1→1,,V1→1,측두부 후퇴 (M1) + 정수리 희박 (V1),초기 추세확인: 월 1회 표준 촬영 + 생활요인 점검
34,M1V2,2,중기,M1→1,,V2→2,측두부 후퇴 (M1) + 정수리 희박 (V2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
35,M1V3,3,심화,M1→1,,V3→3,측두부 후퇴 (M1) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
37,M1F1V1,1,초기,M1→1,F1→1,V1→1,측두부 후퇴 (M1) + 상부 전반 확산 (F1) + 정수리 희박 (V1),초기 추세확인: 월 1회 표준 촬영 + 생활요인 점검
38,M1F1V2,2,중기,M1→1,F1→1,V2→2,측두부 후퇴 (M1) + 상부 전반 확산 (F1) + 정수리 희박 (V2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
39,M1F1V3,3,심화,M1→1,F1→1,V3→3,측두부 후퇴 (M1) + 상부 전반 확산 (F1) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
41,M1F2V1,2,중기,M1→1,F2→2,V1→1,측두부 후퇴 (M1) + 상부 전반 확산 (F2) + 정수리 희박 (V1),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
42,M1F2V2,2,중기,M1→1,F2→2,V2→2,측두부 후퇴 (M1) + 상부 전반 확산 (F2) + 정수리 희박 (V2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
43,M1F2V3,3,심화,M1→1,F2→2,V3→3,측두부 후퇴 (M1) + 상부 전반 확산 (F2) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
45,M1F3V1,3,심화,M1→1,F3→3,V1→1,측두부 후퇴 (M1) + 상부 전반 확산 (F3) + 정수리 희박 (V1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
46,M1F3V2,3,심화,M1→1,F3→3,V2→2,측두부 후퇴 (M1) + 상부 전반 확산 (F3) + 정수리 희박 (V2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
47,M1F3V3,3,심화,M1→1,F3→3,V3→3,측두부 후퇴 (M1) + 상부 전반 확산 (F3) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
48,M2,2,중기,M2→2,,,측두부 후퇴 (M2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
52,M2F1,2,중기,M2→2,F1→1,,측두부 후퇴 (M2) + 상부 전반 확산 (F1),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
56,M2F2,2,중기,M2→2,F2→2,,측두부 후퇴 (M2) + 상부 전반 확산 (F2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
60,M2F3,3,심화,M2→2,F3→3,,측두부 후퇴 (M2) + 상부 전반 확산 (F3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
49,M2V1,2,중기,M2→2,,V1→1,측두부 후퇴 (M2) + 정수리 희박 (V1),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
50,M2V2,2,중기,M2→2,,V2→2,측두부 후퇴 (M2) + 정수리 희박 (V2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
51,M2V3,3,심화,M2→2,,V3→3,측두부 후퇴 (M2) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
53,M2F1V1,2,중기,M2→2,F1→1,V1→1,측두부 후퇴 (M2) + 상부 전반 확산 (F1) + 정수리 희박 (V1),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
54,M2F1V2,2,중기,M2→2,F1→1,V2→2,측두부 후퇴 (M2) + 상부 전반 확산 (F1) + 정수리 희박 (V2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
55,M2F1V3,3,심화,M2→2,F1→1,V3→3,측두부 후퇴 (M2) + 상부 전반 확산 (F1) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
57,M2F2V1,2,중기,M2→2,F2→2,V1→1,측두부 후퇴 (M2) + 상부 전반 확산 (F2) + 정수리 희박 (V1),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
58,M2F2V2,2,중기,M2→2,F2→2,V2→2,측두부 후퇴 (M2) + 상부 전반 확산 (F2) + 정수리 희박 (V2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
59,M2F2V3,3,심화,M2→2,F2→2,V3→3,측두부 후퇴 (M2) + 상부 전반 확산 (F2) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
61,M2F3V1,3,심화,M2→2,F3→3,V1→1,측두부 후퇴 (M2) + 상부 전반 확산 (F3) + 정수리 희박 (V1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
62,M2F3V2,3,심화,M2→2,F3→3,V2→2,측두부 후퇴 (M2) + 상부 전반 확산 (F3) + 정수리 희박 (V2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
63,M2F3V3,3,심화,M2→2,F3→3,V3→3,측두부 후퇴 (M2) + 상부 전반 확산 (F3) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
64,M3,3,심화,M3→3,,,측두부 후퇴 (M3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
68,M3F1,3,심화,M3→3,F1→1,,측두부 후퇴 (M3) + 상부 전반 확산 (F1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
72,M3F2,3,심화,M3→3,F2→2,,측두부 후퇴 (M3) + 상부 전반 확산 (F2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
76,M3F3,3,심화,M3→3,F3→3,,측두부 후퇴 (M3) + 상부 전반 확산 (F3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
65,M3V1,3,심화,M3→3,,V1→1,측두부 후퇴 (M3) + 정수리 희박 (V1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
66,M3V2,3,심화,M3→3,,V2→2,측두부 후퇴 (M3) + 정수리 희박 (V2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
67,M3V3,3,심화,M3→3,,V3→3,측두부 후퇴 (M3) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
69,M3F1V1,3,심화,M3→3,F1→1,V1→1,측두부 후퇴 (M3) + 상부 전반 확산 (F1) + 정수리 희박 (V1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
70,M3F1V2,3,심화,M3→3,F1→1,V2→2,측두부 후퇴 (M3) + 상부 전반 확산 (F1) + 정수리 희박 (V2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
71,M3F1V3,3,심화,M3→3,F1→1,V3→3,측두부 후퇴 (M3) + 상부 전반 확산 (F1) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
73,M3F2V1,3,심화,M3→3,F2→2,V1→1,측두부 후퇴 (M3) + 상부 전반 확산 (F2) + 정수리 희박 (V1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
74,M3F2V2,3,심화,M3→3,F2→2,V2→2,측두부 후퇴 (M3) + 상부 전반 확산 (F2) + 정수리 희박 (V2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
75,M3F2V3,3,심화,M3→3,F2→2,V3→3,측두부 후퇴 (M3) + 상부 전반 확산 (F2) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
77,M3F3V1,3,심화,M3→3,F3→3,V1→1,측두부 후퇴 (M3) + 상부 전반 확산 (F3) + 정수리 희박 (V1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
78,M3F3V2,3,심화,M3→3,F3→3,V2→2,측두부 후퇴 (M3) + 상부 전반 확산 (F3) + 정수리 희박 (V2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
79,M3F3V3,3,심화,M3→3,F3→3,V3→3,측두부 후퇴 (M3) + 상부 전반 확산 (F3) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
80,C0,0,정상,C0→0,,,중앙부 후퇴 없음 (C0),기준선 유지: 분기별 동일 각도 기록
84,C0F1,1,초기,C0→0,F1→1,,중앙부 후퇴 없음 (C0) + 상부 전반 확산 (F1),초기 추세확인: 월 1회 표준 촬영 + 생활요인 점검
88,C0F2,2,중기,C0→0,F2→2,,중앙부 후퇴 없음 (C0) + 상부 전반 확산 (F2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
92,C0F3,3,심화,C0→0,F3→3,,중앙부 후퇴 없음 (C0) + 상부 전반 확산 (F3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
81,C0V1,1,초기,C0→0,,V1→1,중앙부 후퇴 없음 (C0) + 정수리 희박 (V1),초기 추세확인: 월 1회 표준 촬영 + 생활요인 점검
82,C0V2,2,중기,C0→0,,V2→2,중앙부 후퇴 없음 (C0) + 정수리 희박 (V2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
83,C0V3,3,심화,C0→0,,V3→3,중앙부 후퇴 없음 (C0) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
85,C0F1V1,1,초기,C0→0,F1→1,V1→1,중앙부 후퇴 없음 (C0) + 상부 전반 확산 (F1) + 정수리 희박 (V1),초기 추세확인: 월 1회 표준 촬영 + 생활요인 점검
86,C0F1V2,2,중기,C0→0,F1→1,V2→2,중앙부 후퇴 없음 (C0) + 상부 전반 확산 (F1) + 정수리 희박 (V2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
87,C0F1V3,3,심화,C0→0,F1→1,V3→3,중앙부 후퇴 없음 (C0) + 상부 전반 확산 (F1) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
89,C0F2V1,2,중기,C0→0,F2→2,V1→1,중앙부 후퇴 없음 (C0) + 상부 전반 확산 (F2) + 정수리 희박 (V1),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
90,C0F2V2,2,중기,C0→0,F2→2,V2→2,중앙부 후퇴 없음 (C0) + 상부 전반 확산 (F2) + 정수리 희박 (V2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
91,C0F2V3,3,심화,C0→0,F2→2,V3→3,중앙부 후퇴 없음 (C0) + 상부 전반 확산 (F2) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
93,C0F3V1,3,심화,C0→0,F3→3,V1→1,중앙부 후퇴 없음 (C0) + 상부 전반 확산 (F3) + 정수리 희박 (V1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
94,C0F3V2,3,심화,C0→0,F3→3,V2→2,중앙부 후퇴 없음 (C0) + 상부 전반 확산 (F3) + 정수리 희박 (V2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
95,C0F3V3,3,심화,C0→0,F3→3,V3→3,중앙부 후퇴 없음 (C0) + 상부 전반 확산 (F3) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
96,C1,1,초기,C1→1,,,중앙부 후퇴 (C1),초기 추세확인: 월 1회 표준 촬영 + 생활요인 점검
100,C1F1,1,초기,C1→1,F1→1,,중앙부 후퇴 (C1) + 상부 전반 확산 (F1),초기 추세확인: 월 1회 표준 촬영 + 생활요인 점검
104,C1F2,2,중기,C1→1,F2→2,,중앙부 후퇴 (C1) + 상부 전반 확산 (F2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
108,C1F3,3,심화,C1→1,F3→3,,중앙부 후퇴 (C1) + 상부 전반 확산 (F3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
97,C1V1,1,초기,C1→1,,V1→1,중앙부 후퇴 (C1) + 정수리 희박 (V1),초기 추세확인: 월 1회 표준 촬영 + 생활요인 점검
98,C1V2,2,중기,C1→1,,V2→2,중앙부 후퇴 (C1) + 정수리 희박 (V2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
99,C1V3,3,심화,C1→1,,V3→3,중앙부 후퇴 (C1) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
101,C1F1V1,1,초기,C1→1,F1→1,V1→1,중앙부 후퇴 (C1) + 상부 전반 확산 (F1) + 정수리 희박 (V1),초기 추세확인: 월 1회 표준 촬영 + 생활요인 점검
102,C1F1V2,2,중기,C1→1,F1→1,V2→2,중앙부 후퇴 (C1) + 상부 전반 확산 (F1) + 정수리 희박 (V2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
103,C1F1V3,3,심화,C1→1,F1→1,V3→3,중앙부 후퇴 (C1) + 상부 전반 확산 (F1) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
105,C1F2V1,2,중기,C1→1,F2→2,V1→1,중앙부 후퇴 (C1) + 상부 전반 확산 (F2) + 정수리 희박 (V1),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
106,C1F2V2,2,중기,C1→1,F2→2,V2→2,중앙부 후퇴 (C1) + 상부 전반 확산 (F2) + 정수리 희박 (V2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
107,C1F2V3,3,심화,C1→1,F2→2,V3→3,중앙부 후퇴 (C1) + 상부 전반 확산 (F2) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
109,C1F3V1,3,심화,C1→1,F3→3,V1→1,중앙부 후퇴 (C1) + 상부 전반 확산 (F3) + 정수리 희박 (V1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
110,C1F3V2,3,심화,C1→1,F3→3,V2→2,중앙부 후퇴 (C1) + 상부 전반 확산 (F3) + 정수리 희박 (V2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
111,C1F3V3,3,심화,C1→1,F3→3,V3→3,중앙부 후퇴 (C1) + 상부 전반 확산 (F3) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
112,C2,2,중기,C2→2,,,중앙부 후퇴 (C2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
116,C2F1,2,중기,C2→2,F1→1,,중앙부 후퇴 (C2) + 상부 전반 확산 (F1),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
120,C2F2,2,중기,C2→2,F2→2,,중앙부 후퇴 (C2) + 상부 전반 확산 (F2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
124,C2F3,3,심화,C2→2,F3→3,,중앙부 후퇴 (C2) + 상부 전반 확산 (F3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
113,C2V1,2,중기,C2→2,,V1→1,중앙부 후퇴 (C2) + 정수리 희박 (V1),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
114,C2V2,2,중기,C2→2,,V2→2,중앙부 후퇴 (C2) + 정수리 희박 (V2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
115,C2V3,3,심화,C2→2,,V3→3,중앙부 후퇴 (C2) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
117,C2F1V1,2,중기,C2→2,F1→1,V1→1,중앙부 후퇴 (C2) + 상부 전반 확산 (F1) + 정수리 희박 (V1),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
118,C2F1V2,2,중기,C2→2,F1→1,V2→2,중앙부 후퇴 (C2) + 상부 전반 확산 (F1) + 정수리 희박 (V2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
119,C2F1V3,3,심화,C2→2,F1→1,V3→3,중앙부 후퇴 (C2) + 상부 전반 확산 (F1) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
121,C2F2V1,2,중기,C2→2,F2→2,V1→1,중앙부 후퇴 (C2) + 상부 전반 확산 (F2) + 정수리 희박 (V1),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
122,C2F2V2,2,중기,C2→2,F2→2,V2→2,중앙부 후퇴 (C2) + 상부 전반 확산 (F2) + 정수리 희박 (V2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
123,C2F2V3,3,심화,C2→2,F2→2,V3→3,중앙부 후퇴 (C2) + 상부 전반 확산 (F2) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
125,C2F3V1,3,심화,C2→2,F3→3,V1→1,중앙부 후퇴 (C2) + 상부 전반 확산 (F3) + 정수리 희박 (V1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
126,C2F3V2,3,심화,C2→2,F3→3,V2→2,중앙부 후퇴 (C2) + 상부 전반 확산 (F3) + 정수리 희박 (V2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
127,C2F3V3,3,심화,C2→2,F3→3,V3→3,중앙부 후퇴 (C2) + 상부 전반 확산 (F3) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
128,C3,3,심화,C3→3,,,중앙부 후퇴 (C3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
132,C3F1,3,심화,C3→3,F1→1,,중앙부 후퇴 (C3) + 상부 전반 확산 (F1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
136,C3F2,3,심화,C3→3,F2→2,,중앙부 후퇴 (C3) + 상부 전반 확산 (F2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
140,C3F3,3,심화,C3→3,F3→3,,중앙부 후퇴 (C3) + 상부 전반 확산 (F3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
129,C3V1,3,심화,C3→3,,V1→1,중앙부 후퇴 (C3) + 정수리 희박 (V1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
130,C3V2,3,심화,C3→3,,V2→2,중앙부 후퇴 (C3) + 정수리 희박 (V2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
131,C3V3,3,심화,C3→3,,V3→3,중앙부 후퇴 (C3) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
133,C3F1V1,3,심화,C3→3,F1→1,V1→1,중앙부 후퇴 (C3) + 상부 전반 확산 (F1) + 정수리 희박 (V1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
134,C3F1V2,3,심화,C3→3,F1→1,V2→2,중앙부 후퇴 (C3) + 상부 전반 확산 (F1) + 정수리 희박 (V2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
135,C3F1V3,3,심화,C3→3,F1→1,V3→3,중앙부 후퇴 (C3) + 상부 전반 확산 (F1) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
137,C3F2V1,3,심화,C3→3,F2→2,V1→1,중앙부 후퇴 (C3) + 상부 전반 확산 (F2) + 정수리 희박 (V1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
138,C3F2V2,3,심화,C3→3,F2→2,V2→2,중앙부 후퇴 (C3) + 상부 전반 확산 (F2) + 정수리 희박 (V2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
139,C3F2V3,3,심화,C3→3,F2→2,V3→3,중앙부 후퇴 (C3) + 상부 전반 확산 (F2) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
141,C3F3V1,3,심화,C3→3,F3→3,V1→1,중앙부 후퇴 (C3) + 상부 전반 확산 (F3) + 정수리 희박 (V1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
142,C3F3V2,3,심화,C3→3,F3→3,V2→2,중앙부 후퇴 (C3) + 상부 전반 확산 (F3) + 정수리 희박 (V2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
