image_path,filename,true_stage,pred_stage,probs,roi_method,regions_used
C:\Users\301\Desktop\classification_test\level_2\17-Right_jpg.rf.782c2bb91f35e43fb8eaf052b5574d8a.jpg,17-Right_jpg.rf.782c2bb91f35e43fb8eaf052b5574d8a.jpg,2,2,"[0.5451085179987272, 0.08709046396322606, 0.0, 0.24699162326561586, 0.07361251848754045, 0.04719687628489069]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_2\17-Right_jpg.rf.dc63da48e2e5f193db4924bbfa752f3c.jpg,17-Right_jpg.rf.dc63da48e2e5f193db4924bbfa752f3c.jpg,2,2,"[0.5623992704381455, 0.24443169555831112, 0.0, 0.07743305093923696, 0.035837489053458134, 0.0798984940108482]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_2\2-Front_jpg.rf.35a68d2d601a29406f85567078d9a3d6.jpg,2-Front_jpg.rf.35a68d2d601a29406f85567078d9a3d6.jpg,2,3,"[0.32738156483883235, 0.46288065549360813, 0.10299121345654413, 0.10674656621101553, 0.0, 0.0]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_2\2-Front_jpg.rf.3cc295bb9f1747820fb458bee70b9c08.jpg,2-Front_jpg.rf.3cc295bb9f1747820fb458bee70b9c08.jpg,2,2,"[0.5932352692866611, 0.36359807427653273, 0.0, 0.043166656436806096, 0.0, 0.0]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_2\2-Front_jpg.rf.c0344e8174b378670ae3ceb1ca976d1e.jpg,2-Front_jpg.rf.c0344e8174b378670ae3ceb1ca976d1e.jpg,2,2,"[0.6884760997572504, 0.15150162172902282, 0.11693500472504544, 0.04308727378868137, 0.0, 0.0]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_2\21-Front_jpg.rf.1dcd2eef5acfbccfa3e3a939a040d594.jpg,21-Front_jpg.rf.1dcd2eef5acfbccfa3e3a939a040d594.jpg,2,2,"[0.5026835289327148, 0.263490051283626, 0.08988248325722178, 0.09240157123470266, 0.05154236529173486, 0.0]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_2\21-Front_jpg.rf.1fbb2566f3edeed5e8ea35e8fa5e36d5.jpg,21-Front_jpg.rf.1fbb2566f3edeed5e8ea35e8fa5e36d5.jpg,2,2,"[0.39191934369194875, 0.08952762509367052, 0.08142873164427944, 0.1911487754420464, 0.22267911132463927, 0.02329641280341547]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_2\3-Left_jpg.rf.71bd5245375518d053cafe1e6d00b009.jpg,3-Left_jpg.rf.71bd5245375518d053cafe1e6d00b009.jpg,2,3,"[0.2879039067785636, 0.3414473565509625, 0.009095622559023681, 0.24383734500003162, 0.09079117365651374, 0.026924595454905123]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_2\3-Left_jpg.rf.8d1a756f854c8b59c3ab081a168c911e.jpg,3-Left_jpg.rf.8d1a756f854c8b59c3ab081a168c911e.jpg,2,2,"[0.6120930407528289, 0.1491559278600691, 0.14793192946114947, 0.020984946235497126, 0.06983415569045547, 0.0]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_2\3-Left_jpg.rf.b625a85ab014d51e6360ab03763a0915.jpg,3-Left_jpg.rf.b625a85ab014d51e6360ab03763a0915.jpg,2,2,"[0.4206806400102297, 0.14893232462962097, 0.16974079063351355, 0.20323553231004723, 0.0, 0.057410712416588586]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_3\14-Top-Down_jpg.rf.4b45c53745232f0d19c75e4d3d23a83d.jpg,14-Top-Down_jpg.rf.4b45c53745232f0d19c75e4d3d23a83d.jpg,3,2,"[0.6365190884456732, 0.06800719984657246, 0.23991150312048753, 0.05556220858726695, 0.0, 0.0]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_3\14-Top-Down_jpg.rf.6b957da4a7dd73e8eac9170e95803c92.jpg,14-Top-Down_jpg.rf.6b957da4a7dd73e8eac9170e95803c92.jpg,3,2,"[0.37568728087509495, 0.24444348966376933, 0.20998229134344412, 0.15028808216543169, 0.019598855952259884, 0.0]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_3\14-Top-Down_jpg.rf.8e999527010751c5ede9fe141ea9bfe0.jpg,14-Top-Down_jpg.rf.8e999527010751c5ede9fe141ea9bfe0.jpg,3,2,"[0.8756762808774462, 0.06523585370720678, 0.01943151115906258, 0.020060489202528283, 0.019595865053756267, 0.0]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_3\17-Front_jpg.rf.4572009f1e7ce5a229e4d1a677d2ef62.jpg,17-Front_jpg.rf.4572009f1e7ce5a229e4d1a677d2ef62.jpg,3,7,"[0.029326603712503358, 0.06255020354475724, 0.24357908948358048, 0.22143781980279148, 0.16113549477838734, 0.28197078867798003]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_3\17-Front_jpg.rf.7af17ac5a5c4079bc04c778879f38d18.jpg,17-Front_jpg.rf.7af17ac5a5c4079bc04c778879f38d18.jpg,3,6,"[0.010297390277133266, 0.04869286423136, 0.06158518461782846, 0.18576089194907236, 0.5825706537715049, 0.11109301515310095]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_3\17-Front_jpg.rf.eefaab033d690dd5177ab049637d23b2.jpg,17-Front_jpg.rf.eefaab033d690dd5177ab049637d23b2.jpg,3,5,"[0.11589261739524276, 0.046031132504197686, 0.04777752899103421, 0.49746969204984115, 0.13799121126249234, 0.15483781779719197]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_3\2-Front_jpg.rf.221c657f453018f17e2c1a93d494afe2.jpg,2-Front_jpg.rf.221c657f453018f17e2c1a93d494afe2.jpg,3,2,"[0.43888275514347813, 0.18425239335302826, 0.12494452441665371, 0.0912627598194345, 0.0391034524763149, 0.12155411479109045]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_3\2-Front_jpg.rf.ae37cf05d05732bce5439cf7cf132170.jpg,2-Front_jpg.rf.ae37cf05d05732bce5439cf7cf132170.jpg,3,3,"[0.03935336613288057, 0.3329327533690139, 0.1297849397967632, 0.2112523754823674, 0.09771708722747824, 0.18895947799149676]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_3\2-Front_jpg.rf.f61274d0cbfe1240946f1138121ed3a4.jpg,2-Front_jpg.rf.f61274d0cbfe1240946f1138121ed3a4.jpg,3,2,"[0.43654225779383277, 0.1618831246471743, 0.09764223045512932, 0.15560630169945722, 0.13676840038427152, 0.011557685020135027]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_3\23-Front_jpg.rf.277f2482ced851f66f9916b9f3bf244e.jpg,23-Front_jpg.rf.277f2482ced851f66f9916b9f3bf244e.jpg,3,2,"[0.4424240335417073, 0.3231095676748703, 0.08962170998111711, 0.09976537191499366, 0.03560543041207508, 0.009473886475236603]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_3\23-Front_jpg.rf.8c13f86da3e884e7a1dc466c8479ee89.jpg,23-Front_jpg.rf.8c13f86da3e884e7a1dc466c8479ee89.jpg,3,5,"[0.19137841547901754, 0.22002274677198153, 0.13204186752676045, 0.24147219861287278, 0.05182014655132362, 0.16326462505804426]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_3\23-Front_jpg.rf.c380c2deeb81c8605653c3efc9fb4465.jpg,23-Front_jpg.rf.c380c2deeb81c8605653c3efc9fb4465.jpg,3,3,"[0.20710997209313572, 0.5465311425062265, 0.0925253819897704, 0.1538335034108675, 0.0, 0.0]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_3\23-Left_jpg.rf.53456665e57a2bb799e3deaab1f38340.jpg,23-Left_jpg.rf.53456665e57a2bb799e3deaab1f38340.jpg,3,7,"[0.1805931423267406, 0.11063872896862874, 0.12929952187894106, 0.203569958357162, 0.16454657405852025, 0.2113520744100076]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_3\23-Left_jpg.rf.b0bda4a8339f7630de250636ee4210b5.jpg,23-Left_jpg.rf.b0bda4a8339f7630de250636ee4210b5.jpg,3,6,"[0.044889295347054096, 0.10384226467344966, 0.22052978046382168, 0.2590391052226956, 0.26841099008832214, 0.10328856420465682]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_3\23-Left_jpg.rf.bad5f473d56a0252a812237f2594cbf1.jpg,23-Left_jpg.rf.bad5f473d56a0252a812237f2594cbf1.jpg,3,2,"[0.33466765294704237, 0.018929854705527806, 0.238686796732004, 0.2538434338794662, 0.11398774444239948, 0.039884517293560226]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_3\34-Front_jpg.rf.56ca339ccf5e3b03d40bcdb466a0bcd6.jpg,34-Front_jpg.rf.56ca339ccf5e3b03d40bcdb466a0bcd6.jpg,3,5,"[0.060257043321526496, 0.06825198942776824, 0.23753033519074757, 0.5175861545268003, 0.06889012456607556, 0.047484352967081755]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_3\34-Front_jpg.rf.a34d0e21716d9be914d9cf8c606f7eb6.jpg,34-Front_jpg.rf.a34d0e21716d9be914d9cf8c606f7eb6.jpg,3,3,"[0.12252496118538103, 0.6421420241903606, 0.12257183531435929, 0.055790133728089504, 0.0, 0.05697104558180978]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_3\4-Left_jpg.rf.26c450bb0a47ba1c70e43e1f7e695f6a.jpg,4-Left_jpg.rf.26c450bb0a47ba1c70e43e1f7e695f6a.jpg,3,3,"[0.24646113430036398, 0.4466949519649948, 0.15751005532281898, 0.018697859254764554, 0.12170133300905024, 0.008934666148007472]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_3\4-Left_jpg.rf.891684e9f476f68a5ec1e451ca1421d0.jpg,4-Left_jpg.rf.891684e9f476f68a5ec1e451ca1421d0.jpg,3,2,"[0.40081664070037426, 0.11858477537941398, 0.29845084533440325, 0.11277198102403112, 0.05967061022802667, 0.009705147333750762]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_3\4-Left_jpg.rf.a05742ff1a03b9957d7aecc2fa2a4d5d.jpg,4-Left_jpg.rf.a05742ff1a03b9957d7aecc2fa2a4d5d.jpg,3,2,"[0.31158052220505444, 0.20704094389136318, 0.1527902553884331, 0.152215373549416, 0.04553683325388953, 0.13083607171184383]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_4\10-Front_jpg.rf.5c9f551ab0edf72160c243035a10b217.jpg,10-Front_jpg.rf.5c9f551ab0edf72160c243035a10b217.jpg,4,4,"[0.0, 0.0, 0.5050999678832894, 0.4012932932977563, 0.0936067388189544, 0.0]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_4\10-Front_jpg.rf.8d5a525c907a916b48ca9cf936359734.jpg,10-Front_jpg.rf.8d5a525c907a916b48ca9cf936359734.jpg,4,4,"[0.030455769357707947, 0.0, 0.46870155840009065, 0.2947757009400612, 0.049361122343562595, 0.15670584895857773]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_4\10-Front_jpg.rf.a08b89f8825c8ecfce4f70092416da22.jpg,10-Front_jpg.rf.a08b89f8825c8ecfce4f70092416da22.jpg,4,4,"[0.10501464768792271, 0.03375065369768614, 0.6636931446847336, 0.14062224089726227, 0.04981289996147842, 0.00710641307091702]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_4\14-Top-Down_jpg.rf.187e34f31103c42d846c7413a2a02871.jpg,14-Top-Down_jpg.rf.187e34f31103c42d846c7413a2a02871.jpg,4,4,"[0.20152937791258724, 0.0, 0.5880838138294076, 0.21038680825800504, 0.0, 0.0]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_4\14-Top-Down_jpg.rf.1e5bc8fb61f881b86499411220318491.jpg,14-Top-Down_jpg.rf.1e5bc8fb61f881b86499411220318491.jpg,4,4,"[0.09320859022828347, 0.18391077042656823, 0.6251307545915967, 0.07773273213633408, 0.010488340023443758, 0.009528812593773764]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_4\14-Top-Down_jpg.rf.e2723f49054a0145202d57a1f2dc13e2.jpg,14-Top-Down_jpg.rf.e2723f49054a0145202d57a1f2dc13e2.jpg,4,4,"[0.13075708700858912, 0.12376562009335162, 0.5270501394430791, 0.21842715345498023, 0.0, 0.0]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_4\15-Right_jpg.rf.5e85294873ec4911ce572abcc0750b63.jpg,15-Right_jpg.rf.5e85294873ec4911ce572abcc0750b63.jpg,4,3,"[0.246130833310997, 0.3961558574171914, 0.04675945276805101, 0.13648080629498274, 0.09751351332000759, 0.07695953688877033]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_4\15-Right_jpg.rf.83d530c6b3270809c5fa10c22ee9a600.jpg,15-Right_jpg.rf.83d530c6b3270809c5fa10c22ee9a600.jpg,4,2,"[0.335048591720832, 0.16622512967749203, 0.2875797252154545, 0.15028949271916456, 0.0, 0.060857060667056984]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_4\15-Right_jpg.rf.e8bf40298a6f9d9920adf5e7f0e49147.jpg,15-Right_jpg.rf.e8bf40298a6f9d9920adf5e7f0e49147.jpg,4,2,"[0.27076016409513315, 0.24484828584536866, 0.2094486821864785, 0.23385656596478033, 0.041086301908239344, 0.0]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_4\29-Left_jpg.rf.58ec6830e002ce7b7290212c68db2fdf.jpg,29-Left_jpg.rf.58ec6830e002ce7b7290212c68db2fdf.jpg,4,3,"[0.11773941873841423, 0.40103624647577557, 0.13790986442952863, 0.18776438502167697, 0.08664550220949285, 0.06890458312511188]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_4\29-Left_jpg.rf.8f92a49a4698d2856f05b9c2d41e5a8f.jpg,29-Left_jpg.rf.8f92a49a4698d2856f05b9c2d41e5a8f.jpg,4,6,"[0.0392438897585878, 0.2348812703584426, 0.23755448598481785, 0.2022700642316949, 0.28605028966645685, 0.0]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_4\29-Left_jpg.rf.d8361c6722279a23a3f44340eb3a4232.jpg,29-Left_jpg.rf.d8361c6722279a23a3f44340eb3a4232.jpg,4,2,"[0.23725856703027934, 0.17995599300489734, 0.21616531310656176, 0.14938066519471532, 0.08864577144722081, 0.12859369021632536]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_4\30-Front_jpg.rf.18a9954f76da1eca244d942955010575.jpg,30-Front_jpg.rf.18a9954f76da1eca244d942955010575.jpg,4,5,"[0.1741006613114296, 0.018035822207185657, 0.270429412775047, 0.40982905695111116, 0.08746597686016533, 0.040139069895061365]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_4\30-Front_jpg.rf.30fa7089bccb058f1b170c36dbca2d85.jpg,30-Front_jpg.rf.30fa7089bccb058f1b170c36dbca2d85.jpg,4,3,"[0.08756585972709408, 0.2970312369372411, 0.1082568369931146, 0.22662402620777267, 0.1567605151270471, 0.12376152500773041]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_4\30-Front_jpg.rf.8e755c527eea690936f98828e9d36968.jpg,30-Front_jpg.rf.8e755c527eea690936f98828e9d36968.jpg,4,3,"[0.21969921305048123, 0.26472177554074705, 0.08882798415742033, 0.10446559108829649, 0.10541956352475622, 0.21686587263829876]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_4\34-Top-Down_jpg.rf.684ea2985256d8cfa3367bba76cb9918.jpg,34-Top-Down_jpg.rf.684ea2985256d8cfa3367bba76cb9918.jpg,4,3,"[0.1098273074707063, 0.4385160307855817, 0.07639494224275373, 0.059074474131512934, 0.02828020488822617, 0.28790704048121935]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_4\34-Top-Down_jpg.rf.ea452c5c5b850c34cb61bcf1b07ed689.jpg,34-Top-Down_jpg.rf.ea452c5c5b850c34cb61bcf1b07ed689.jpg,4,5,"[0.020720227898482622, 0.17384577186436836, 0.16714875458689687, 0.28835348821155493, 0.2828164282855979, 0.06711532915309937]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_4\37-Front_jpg.rf.00c1330743ba92bbcba13fca829b8152.jpg,37-Front_jpg.rf.00c1330743ba92bbcba13fca829b8152.jpg,4,6,"[0.2802619894992352, 0.14899791519618813, 0.13551618618418304, 0.14984271587396852, 0.28538119324642514, 0.0]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_4\37-Front_jpg.rf.7bc9747d319dac74eda1d8d43d48dc4b.jpg,37-Front_jpg.rf.7bc9747d319dac74eda1d8d43d48dc4b.jpg,4,6,"[0.2569638517916599, 0.07084456165839108, 0.08243666844219714, 0.2598266360569306, 0.3106319267320185, 0.019296355318802662]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_4\37-Front_jpg.rf.a2bdd9935cfcc136ff0630bcfc53f51e.jpg,37-Front_jpg.rf.a2bdd9935cfcc136ff0630bcfc53f51e.jpg,4,2,"[0.4682119771295337, 0.0, 0.03581217222295265, 0.2969236565719753, 0.17624844628845693, 0.02280374778708154]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_5\1-Front_jpg.rf.b6db8d0922087d143049a8386cf1a629.jpg,1-Front_jpg.rf.b6db8d0922087d143049a8386cf1a629.jpg,5,7,"[0.0, 0.10649902664579683, 0.010746823253087156, 0.2595546790573692, 0.13046801229294955, 0.4927314587507973]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_5\1-Front_jpg.rf.bf21f15d52b878a5878f74f984344731.jpg,1-Front_jpg.rf.bf21f15d52b878a5878f74f984344731.jpg,5,5,"[0.0, 0.3478603188333314, 0.1740665930772195, 0.42238442619515204, 0.05568866189429712, 0.0]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_5\1-Front_jpg.rf.f738745e12ca049570ab4eb8b2097ac8.jpg,1-Front_jpg.rf.f738745e12ca049570ab4eb8b2097ac8.jpg,5,6,"[0.0, 0.1586862120745739, 0.107274234189978, 0.2235741341415706, 0.2725770814494017, 0.23788833814447582]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_5\10-Top-Down_jpg.rf.1d94c5fbe8ed8721ee8adbd1c8a90812.jpg,10-Top-Down_jpg.rf.1d94c5fbe8ed8721ee8adbd1c8a90812.jpg,5,4,"[0.10788680269362326, 0.1965882474575006, 0.5132826002831595, 0.18224234956571655, 0.0, 0.0]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_5\10-Top-Down_jpg.rf.cbedc260ae70ecbc19e13d8d09e1c3bc.jpg,10-Top-Down_jpg.rf.cbedc260ae70ecbc19e13d8d09e1c3bc.jpg,5,4,"[0.06079916941904382, 0.1762127369029542, 0.3516998932871994, 0.2563730593096853, 0.15491514108111742, 0.0]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_5\12-Front_jpg.rf.1563c8995b2004e52202c0d4236da9b6.jpg,12-Front_jpg.rf.1563c8995b2004e52202c0d4236da9b6.jpg,5,4,"[0.04791094432066758, 0.05049578582747221, 0.6215429517090839, 0.08796814001880059, 0.1920821781239756, 0.0]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_5\12-Front_jpg.rf.8b5b02965f8e1e39e02846f165f5c508.jpg,12-Front_jpg.rf.8b5b02965f8e1e39e02846f165f5c508.jpg,5,4,"[0.03777136401144962, 0.09795352551192525, 0.33845889214605923, 0.09426181668433631, 0.23820610080912483, 0.1933483008371049]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_5\26-Right_jpg.rf.45329ef32fd3c12868e1b7ec9352ae0d.jpg,26-Right_jpg.rf.45329ef32fd3c12868e1b7ec9352ae0d.jpg,5,2,"[0.32860658338907955, 0.11934541820188357, 0.007557045799804498, 0.2739209124371841, 0.22401384893599502, 0.04655619123605329]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_5\6-Back_jpg.rf.0d470c6b703d86356f8dd7938a2142fe.jpg,6-Back_jpg.rf.0d470c6b703d86356f8dd7938a2142fe.jpg,5,2,"[0.6630312976252325, 0.28740092958164476, 0.010168366044007754, 0.010425358070174884, 0.0, 0.0289740486789401]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_5\6-Back_jpg.rf.0efecc6ac0b69769379078787bd5a49c.jpg,6-Back_jpg.rf.0efecc6ac0b69769379078787bd5a49c.jpg,5,2,"[0.6085736571671395, 0.17808827020196952, 0.1793930511144722, 0.03394502151641884, 0.0, 0.0]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_5\6-Back_jpg.rf.feb81f6ca5acda5b6285fef947c04f0c.jpg,6-Back_jpg.rf.feb81f6ca5acda5b6285fef947c04f0c.jpg,5,2,"[0.7000120007091967, 0.13839608725991556, 0.06789583007596423, 0.04493594756879262, 0.00944820552599118, 0.03931192886013969]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_5\6-Top-Down_jpg.rf.00377fdc3043b8e924208e6be32f8439.jpg,6-Top-Down_jpg.rf.00377fdc3043b8e924208e6be32f8439.jpg,5,5,"[0.04531466255053701, 0.2051308079133654, 0.1964625918223696, 0.26635234495857085, 0.22343767730745726, 0.06330191544769989]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_5\6-Top-Down_jpg.rf.ddc24955e0afca570f1d28fe40351d03.jpg,6-Top-Down_jpg.rf.ddc24955e0afca570f1d28fe40351d03.jpg,5,7,"[0.05681865651858608, 0.06991408630356363, 0.11200643131150344, 0.3030949562257695, 0.05193996257443437, 0.406225907066143]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_5\6-Top-Down_jpg.rf.f46d82b2da9158d9f61e18922c9688a0.jpg,6-Top-Down_jpg.rf.f46d82b2da9158d9f61e18922c9688a0.jpg,5,7,"[0.08567516371334971, 0.19416586671691147, 0.11140205589425248, 0.18520886127102246, 0.0, 0.4235480524044641]",roi_weighted_ensemble,"['core', 'sides']"
C:\Users\301\Desktop\classification_test\level_5\7-Back_jpg.rf.b571856e028b8294ef93501195b25b05.jpg,7-Back_jpg.rf.b571856e028b8294ef93501195b25b05.jpg,5,6,"[0.0382380166055768, 0.25697313083953305, 0.2617900070100338, 0.08902425410332701, 0.34454806400030935, 0.00942652744122018]",roi_weighted_ensemble,"['core', 'sides']"
