image_path,filename,true_stage,pred_stage,probs,preprocessing_method,viewpoint
C:\Users\301\Desktop\classification_test\level_2\17-Right_jpg.rf.782c2bb91f35e43fb8eaf052b5574d8a.jpg,17-Right_jpg.rf.782c2bb91f35e43fb8eaf052b5574d8a.jpg,2,2,"[0.6487859281004162, 0.23133724813885523, 0.0, 0.08973789201903186, 0.0, 0.030138931741696812]",preprocessing_only,right
C:\Users\301\Desktop\classification_test\level_2\17-Right_jpg.rf.dc63da48e2e5f193db4924bbfa752f3c.jpg,17-Right_jpg.rf.dc63da48e2e5f193db4924bbfa752f3c.jpg,2,2,"[0.8004743982941598, 0.06550648485998123, 0.0, 0.09008023850570836, 0.0439388783401507, 0.0]",preprocessing_only,right
C:\Users\301\Desktop\classification_test\level_2\2-Front_jpg.rf.35a68d2d601a29406f85567078d9a3d6.jpg,2-Front_jpg.rf.35a68d2d601a29406f85567078d9a3d6.jpg,2,2,"[0.5682963904480804, 0.3207585255581301, 0.052624828775764076, 0.05832025521802542, 0.0, 0.0]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_2\2-Front_jpg.rf.3cc295bb9f1747820fb458bee70b9c08.jpg,2-Front_jpg.rf.3cc295bb9f1747820fb458bee70b9c08.jpg,2,2,"[0.6170614664022173, 0.07471966578385372, 0.0, 0.30821886781392904, 0.0, 0.0]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_2\2-Front_jpg.rf.c0344e8174b378670ae3ceb1ca976d1e.jpg,2-Front_jpg.rf.c0344e8174b378670ae3ceb1ca976d1e.jpg,2,5,"[0.21070662394835984, 0.3920873485787865, 0.0, 0.39720602747285366, 0.0, 0.0]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_2\21-Front_jpg.rf.1dcd2eef5acfbccfa3e3a939a040d594.jpg,21-Front_jpg.rf.1dcd2eef5acfbccfa3e3a939a040d594.jpg,2,2,"[0.3204194320874332, 0.04473541136925619, 0.10186048798462467, 0.297822221092198, 0.23516244746648787, 0.0]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_2\21-Front_jpg.rf.1fbb2566f3edeed5e8ea35e8fa5e36d5.jpg,21-Front_jpg.rf.1fbb2566f3edeed5e8ea35e8fa5e36d5.jpg,2,2,"[0.33032008627971016, 0.03926674452224178, 0.0, 0.3160815020236181, 0.31433166717442995, 0.0]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_2\3-Left_jpg.rf.71bd5245375518d053cafe1e6d00b009.jpg,3-Left_jpg.rf.71bd5245375518d053cafe1e6d00b009.jpg,2,2,"[0.5809950820649679, 0.19043019886198473, 0.12315840758129887, 0.0, 0.07302999189775734, 0.03238631959399123]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_2\3-Left_jpg.rf.8d1a756f854c8b59c3ab081a168c911e.jpg,3-Left_jpg.rf.8d1a756f854c8b59c3ab081a168c911e.jpg,2,2,"[0.6783347458718355, 0.07820079002078467, 0.24346446410737985, 0.0, 0.0, 0.0]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_2\3-Left_jpg.rf.b625a85ab014d51e6360ab03763a0915.jpg,3-Left_jpg.rf.b625a85ab014d51e6360ab03763a0915.jpg,2,2,"[0.5170311574259671, 0.19029174349050568, 0.29267709908352735, 0.0, 0.0, 0.0]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_3\14-Top-Down_jpg.rf.4b45c53745232f0d19c75e4d3d23a83d.jpg,14-Top-Down_jpg.rf.4b45c53745232f0d19c75e4d3d23a83d.jpg,3,3,"[0.2361391015600216, 0.42064310889684686, 0.2933598504219513, 0.04985793912118019, 0.0, 0.0]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_3\14-Top-Down_jpg.rf.6b957da4a7dd73e8eac9170e95803c92.jpg,14-Top-Down_jpg.rf.6b957da4a7dd73e8eac9170e95803c92.jpg,3,2,"[0.742516490705032, 0.10899690183386125, 0.1147792381498355, 0.033707369311271065, 0.0, 0.0]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_3\14-Top-Down_jpg.rf.8e999527010751c5ede9fe141ea9bfe0.jpg,14-Top-Down_jpg.rf.8e999527010751c5ede9fe141ea9bfe0.jpg,3,2,"[0.5467292935827821, 0.2988175996878829, 0.15445310672933488, 0.0, 0.0, 0.0]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_3\17-Front_jpg.rf.4572009f1e7ce5a229e4d1a677d2ef62.jpg,17-Front_jpg.rf.4572009f1e7ce5a229e4d1a677d2ef62.jpg,3,6,"[0.0, 0.0, 0.13045646068327468, 0.17265522009325243, 0.6484534056596206, 0.048434913563852044]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_3\17-Front_jpg.rf.7af17ac5a5c4079bc04c778879f38d18.jpg,17-Front_jpg.rf.7af17ac5a5c4079bc04c778879f38d18.jpg,3,6,"[0.0, 0.29347934701644113, 0.0, 0.19675721840309748, 0.37038653323929815, 0.13937690134116326]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_3\17-Front_jpg.rf.eefaab033d690dd5177ab049637d23b2.jpg,17-Front_jpg.rf.eefaab033d690dd5177ab049637d23b2.jpg,3,2,"[0.293882831177538, 0.1542624318555685, 0.15891613787655762, 0.20342502049785777, 0.189513578592478, 0.0]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_3\2-Front_jpg.rf.221c657f453018f17e2c1a93d494afe2.jpg,2-Front_jpg.rf.221c657f453018f17e2c1a93d494afe2.jpg,3,5,"[0.14495569252003707, 0.24318954264169892, 0.10235574660404673, 0.30491077671589417, 0.15530612134047905, 0.04928212017784413]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_3\2-Front_jpg.rf.ae37cf05d05732bce5439cf7cf132170.jpg,2-Front_jpg.rf.ae37cf05d05732bce5439cf7cf132170.jpg,3,3,"[0.1423492587332901, 0.29785135512913463, 0.049900397126372564, 0.2112798572356411, 0.1518946514110291, 0.1467244803645325]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_3\2-Front_jpg.rf.f61274d0cbfe1240946f1138121ed3a4.jpg,2-Front_jpg.rf.f61274d0cbfe1240946f1138121ed3a4.jpg,3,2,"[0.6832321479934307, 0.0, 0.09815958167775565, 0.15733059305838826, 0.06127767727042539, 0.0]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_3\23-Front_jpg.rf.277f2482ced851f66f9916b9f3bf244e.jpg,23-Front_jpg.rf.277f2482ced851f66f9916b9f3bf244e.jpg,3,5,"[0.0, 0.2519332351569573, 0.044901192458766066, 0.2893382609599503, 0.1567270738901612, 0.2571002375341653]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_3\23-Front_jpg.rf.8c13f86da3e884e7a1dc466c8479ee89.jpg,23-Front_jpg.rf.8c13f86da3e884e7a1dc466c8479ee89.jpg,3,5,"[0.0, 0.205048724830202, 0.09562813912239015, 0.36456892750060166, 0.10296731908888386, 0.23178688945792228]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_3\23-Front_jpg.rf.c380c2deeb81c8605653c3efc9fb4465.jpg,23-Front_jpg.rf.c380c2deeb81c8605653c3efc9fb4465.jpg,3,4,"[0.1419242316316844, 0.18809297406654316, 0.3672776459354333, 0.10336932800384814, 0.047575472154361094, 0.15176034820812995]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_3\23-Left_jpg.rf.53456665e57a2bb799e3deaab1f38340.jpg,23-Left_jpg.rf.53456665e57a2bb799e3deaab1f38340.jpg,3,3,"[0.05245970431972782, 0.3586084274319698, 0.1045072421759894, 0.28429116247465186, 0.20013346359766107, 0.0]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_3\23-Left_jpg.rf.b0bda4a8339f7630de250636ee4210b5.jpg,23-Left_jpg.rf.b0bda4a8339f7630de250636ee4210b5.jpg,3,6,"[0.04425632428771589, 0.2526128528601618, 0.15262315276099053, 0.10658912719157228, 0.3472259302382468, 0.0966926126613126]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_3\23-Left_jpg.rf.bad5f473d56a0252a812237f2594cbf1.jpg,23-Left_jpg.rf.bad5f473d56a0252a812237f2594cbf1.jpg,3,3,"[0.14549580089574057, 0.24950769816605298, 0.20012815825756475, 0.16075523656307364, 0.14724401399041154, 0.0968690921271564]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_3\34-Front_jpg.rf.56ca339ccf5e3b03d40bcdb466a0bcd6.jpg,34-Front_jpg.rf.56ca339ccf5e3b03d40bcdb466a0bcd6.jpg,3,2,"[0.5300260070034457, 0.17680013247178597, 0.07213373422271661, 0.14561762561367975, 0.07542250068837168, 0.0]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_3\34-Front_jpg.rf.a34d0e21716d9be914d9cf8c606f7eb6.jpg,34-Front_jpg.rf.a34d0e21716d9be914d9cf8c606f7eb6.jpg,3,2,"[0.3052248732430208, 0.2404659028381188, 0.15017923107054465, 0.30412999284831577, 0.0, 0.0]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_3\4-Left_jpg.rf.26c450bb0a47ba1c70e43e1f7e695f6a.jpg,4-Left_jpg.rf.26c450bb0a47ba1c70e43e1f7e695f6a.jpg,3,3,"[0.2855211848530746, 0.5744273479398921, 0.0, 0.09743009042447816, 0.04262137678255519, 0.0]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_3\4-Left_jpg.rf.891684e9f476f68a5ec1e451ca1421d0.jpg,4-Left_jpg.rf.891684e9f476f68a5ec1e451ca1421d0.jpg,3,3,"[0.14329473081822075, 0.3946745696683133, 0.22189551752878706, 0.09564818566196062, 0.1444869963227184, 0.0]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_3\4-Left_jpg.rf.a05742ff1a03b9957d7aecc2fa2a4d5d.jpg,4-Left_jpg.rf.a05742ff1a03b9957d7aecc2fa2a4d5d.jpg,3,2,"[0.3943548353839848, 0.15040287948902847, 0.12128546242228788, 0.19073895180714354, 0.14321787089755528, 0.0]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_4\10-Front_jpg.rf.5c9f551ab0edf72160c243035a10b217.jpg,10-Front_jpg.rf.5c9f551ab0edf72160c243035a10b217.jpg,4,4,"[0.0, 0.0, 0.9045467617488048, 0.09545323825119527, 0.0, 0.0]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_4\10-Front_jpg.rf.8d5a525c907a916b48ca9cf936359734.jpg,10-Front_jpg.rf.8d5a525c907a916b48ca9cf936359734.jpg,4,4,"[0.04803508729196767, 0.2507561454785432, 0.43169500974242464, 0.05727560810229238, 0.11249596627663713, 0.09974218310813501]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_4\10-Front_jpg.rf.a08b89f8825c8ecfce4f70092416da22.jpg,10-Front_jpg.rf.a08b89f8825c8ecfce4f70092416da22.jpg,4,3,"[0.0, 0.42431607078918054, 0.38619615065741075, 0.05559323987388788, 0.13389453867952072, 0.0]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_4\14-Top-Down_jpg.rf.187e34f31103c42d846c7413a2a02871.jpg,14-Top-Down_jpg.rf.187e34f31103c42d846c7413a2a02871.jpg,4,2,"[0.6789808875811671, 0.0, 0.32101911241883274, 0.0, 0.0, 0.0]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_4\14-Top-Down_jpg.rf.1e5bc8fb61f881b86499411220318491.jpg,14-Top-Down_jpg.rf.1e5bc8fb61f881b86499411220318491.jpg,4,2,"[0.3915895256632578, 0.21106266340124827, 0.2570998907867422, 0.0, 0.14024792014875176, 0.0]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_4\14-Top-Down_jpg.rf.e2723f49054a0145202d57a1f2dc13e2.jpg,14-Top-Down_jpg.rf.e2723f49054a0145202d57a1f2dc13e2.jpg,4,3,"[0.10846113618828855, 0.4587184280477548, 0.3812334324924692, 0.05158700327148731, 0.0, 0.0]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_4\15-Right_jpg.rf.5e85294873ec4911ce572abcc0750b63.jpg,15-Right_jpg.rf.5e85294873ec4911ce572abcc0750b63.jpg,4,5,"[0.14318314709888708, 0.23610256640933766, 0.19240243835566773, 0.3842852921302186, 0.04402655600588877, 0.0]",preprocessing_only,right
C:\Users\301\Desktop\classification_test\level_4\15-Right_jpg.rf.83d530c6b3270809c5fa10c22ee9a600.jpg,15-Right_jpg.rf.83d530c6b3270809c5fa10c22ee9a600.jpg,4,4,"[0.33169251136640976, 0.1396310109059065, 0.5286764777276837, 0.0, 0.0, 0.0]",preprocessing_only,right
C:\Users\301\Desktop\classification_test\level_4\15-Right_jpg.rf.e8bf40298a6f9d9920adf5e7f0e49147.jpg,15-Right_jpg.rf.e8bf40298a6f9d9920adf5e7f0e49147.jpg,4,4,"[0.0, 0.163093184184282, 0.730235658740448, 0.06760042675056108, 0.03907073032470885, 0.0]",preprocessing_only,right
C:\Users\301\Desktop\classification_test\level_4\29-Left_jpg.rf.58ec6830e002ce7b7290212c68db2fdf.jpg,29-Left_jpg.rf.58ec6830e002ce7b7290212c68db2fdf.jpg,4,6,"[0.0, 0.14844721951643336, 0.19691654735801595, 0.19425627171719254, 0.46037996140835824, 0.0]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_4\29-Left_jpg.rf.8f92a49a4698d2856f05b9c2d41e5a8f.jpg,29-Left_jpg.rf.8f92a49a4698d2856f05b9c2d41e5a8f.jpg,4,6,"[0.0, 0.10311514387868487, 0.2130066075236759, 0.1414563931682513, 0.5424218554293879, 0.0]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_4\29-Left_jpg.rf.d8361c6722279a23a3f44340eb3a4232.jpg,29-Left_jpg.rf.d8361c6722279a23a3f44340eb3a4232.jpg,4,6,"[0.0334724591788877, 0.21381388955210284, 0.24816277062557776, 0.0, 0.5045508806434317, 0.0]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_4\30-Front_jpg.rf.18a9954f76da1eca244d942955010575.jpg,30-Front_jpg.rf.18a9954f76da1eca244d942955010575.jpg,4,5,"[0.17799319553915874, 0.0, 0.10228316251759556, 0.6177392511073333, 0.052374953848771916, 0.049609436987140376]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_4\30-Front_jpg.rf.30fa7089bccb058f1b170c36dbca2d85.jpg,30-Front_jpg.rf.30fa7089bccb058f1b170c36dbca2d85.jpg,4,5,"[0.14846387617878912, 0.0, 0.18522648291075364, 0.44930589822210243, 0.05425954012914339, 0.1627442025592114]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_4\30-Front_jpg.rf.8e755c527eea690936f98828e9d36968.jpg,30-Front_jpg.rf.8e755c527eea690936f98828e9d36968.jpg,4,5,"[0.1902813843115999, 0.0, 0.046857833696011035, 0.47335252159826097, 0.10164558348796221, 0.18786267690616593]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_4\34-Top-Down_jpg.rf.684ea2985256d8cfa3367bba76cb9918.jpg,34-Top-Down_jpg.rf.684ea2985256d8cfa3367bba76cb9918.jpg,4,3,"[0.15715809724313812, 0.4358163718091224, 0.2066513899408237, 0.15442446406976174, 0.0, 0.04594967693715408]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_4\34-Top-Down_jpg.rf.ea452c5c5b850c34cb61bcf1b07ed689.jpg,34-Top-Down_jpg.rf.ea452c5c5b850c34cb61bcf1b07ed689.jpg,4,6,"[0.0, 0.0, 0.24339340126324718, 0.30392395428385116, 0.4066480533131012, 0.04603459113980038]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_4\37-Front_jpg.rf.00c1330743ba92bbcba13fca829b8152.jpg,37-Front_jpg.rf.00c1330743ba92bbcba13fca829b8152.jpg,4,6,"[0.2554858195466486, 0.15382820466826025, 0.10965209528759348, 0.19478275038484377, 0.2862511301126539, 0.0]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_4\37-Front_jpg.rf.7bc9747d319dac74eda1d8d43d48dc4b.jpg,37-Front_jpg.rf.7bc9747d319dac74eda1d8d43d48dc4b.jpg,4,6,"[0.41458464544395474, 0.04762518379181144, 0.045978862031188526, 0.049977875940939775, 0.4418334327921055, 0.0]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_4\37-Front_jpg.rf.a2bdd9935cfcc136ff0630bcfc53f51e.jpg,37-Front_jpg.rf.a2bdd9935cfcc136ff0630bcfc53f51e.jpg,4,6,"[0.31901116134175234, 0.05958887108152446, 0.06030134293553896, 0.1610425412530141, 0.4000560833881701, 0.0]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_5\1-Front_jpg.rf.b6db8d0922087d143049a8386cf1a629.jpg,1-Front_jpg.rf.b6db8d0922087d143049a8386cf1a629.jpg,5,6,"[0.0, 0.0, 0.1000462739470762, 0.1420571214712034, 0.7121444728601541, 0.04575213172156624]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_5\1-Front_jpg.rf.bf21f15d52b878a5878f74f984344731.jpg,1-Front_jpg.rf.bf21f15d52b878a5878f74f984344731.jpg,5,3,"[0.15456702074853185, 0.29847266891225316, 0.15211640103666974, 0.15413704011255272, 0.24070686918999248, 0.0]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_5\1-Front_jpg.rf.f738745e12ca049570ab4eb8b2097ac8.jpg,1-Front_jpg.rf.f738745e12ca049570ab4eb8b2097ac8.jpg,5,4,"[0.0, 0.1450055232680618, 0.3092744311094576, 0.25698111185080946, 0.23929784015591948, 0.049441093615751504]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_5\10-Top-Down_jpg.rf.1d94c5fbe8ed8721ee8adbd1c8a90812.jpg,10-Top-Down_jpg.rf.1d94c5fbe8ed8721ee8adbd1c8a90812.jpg,5,5,"[0.0, 0.19773841636032424, 0.19943366270468793, 0.2076382586959176, 0.19348772650666746, 0.20170193573240286]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_5\10-Top-Down_jpg.rf.cbedc260ae70ecbc19e13d8d09e1c3bc.jpg,10-Top-Down_jpg.rf.cbedc260ae70ecbc19e13d8d09e1c3bc.jpg,5,6,"[0.0, 0.12730769157640645, 0.1977710669702657, 0.2334717934054545, 0.39212084101882794, 0.049328607029045325]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_5\12-Front_jpg.rf.1563c8995b2004e52202c0d4236da9b6.jpg,12-Front_jpg.rf.1563c8995b2004e52202c0d4236da9b6.jpg,5,5,"[0.28729537296329816, 0.0, 0.10272491069839215, 0.4448044124947037, 0.1651753038436059, 0.0]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_5\12-Front_jpg.rf.8b5b02965f8e1e39e02846f165f5c508.jpg,12-Front_jpg.rf.8b5b02965f8e1e39e02846f165f5c508.jpg,5,2,"[0.29222133654240584, 0.05344178273283316, 0.26802031512297975, 0.1969248176186443, 0.13711523873434736, 0.052276509248789474]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_5\26-Right_jpg.rf.45329ef32fd3c12868e1b7ec9352ae0d.jpg,26-Right_jpg.rf.45329ef32fd3c12868e1b7ec9352ae0d.jpg,5,5,"[0.3021353516809715, 0.19445620472264044, 0.0, 0.31068415483591394, 0.04650392494916269, 0.14622036381131148]",preprocessing_only,right
C:\Users\301\Desktop\classification_test\level_5\6-Back_jpg.rf.0d470c6b703d86356f8dd7938a2142fe.jpg,6-Back_jpg.rf.0d470c6b703d86356f8dd7938a2142fe.jpg,5,3,"[0.32044590378026266, 0.5852772822950288, 0.0, 0.0, 0.0, 0.09427681392470849]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_5\6-Back_jpg.rf.0efecc6ac0b69769379078787bd5a49c.jpg,6-Back_jpg.rf.0efecc6ac0b69769379078787bd5a49c.jpg,5,3,"[0.1846224966362268, 0.3483470626010272, 0.0, 0.14419457868861424, 0.22987482484105903, 0.09296103723307264]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_5\6-Back_jpg.rf.feb81f6ca5acda5b6285fef947c04f0c.jpg,6-Back_jpg.rf.feb81f6ca5acda5b6285fef947c04f0c.jpg,5,3,"[0.045080165480125375, 0.3772776951257842, 0.09552552450929556, 0.19557346273721798, 0.23808640873585837, 0.04845674341171858]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_5\6-Top-Down_jpg.rf.00377fdc3043b8e924208e6be32f8439.jpg,6-Top-Down_jpg.rf.00377fdc3043b8e924208e6be32f8439.jpg,5,7,"[0.0, 0.355780181244928, 0.0, 0.0, 0.09527405260571865, 0.5489457661493534]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_5\6-Top-Down_jpg.rf.ddc24955e0afca570f1d28fe40351d03.jpg,6-Top-Down_jpg.rf.ddc24955e0afca570f1d28fe40351d03.jpg,5,7,"[0.0, 0.0, 0.0900038947605422, 0.3223120605969232, 0.19652950675646422, 0.3911545378860703]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_5\6-Top-Down_jpg.rf.f46d82b2da9158d9f61e18922c9688a0.jpg,6-Top-Down_jpg.rf.f46d82b2da9158d9f61e18922c9688a0.jpg,5,7,"[0.0, 0.0, 0.0, 0.1579324518556447, 0.0, 0.8420675481443554]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_5\7-Back_jpg.rf.b571856e028b8294ef93501195b25b05.jpg,7-Back_jpg.rf.b571856e028b8294ef93501195b25b05.jpg,5,7,"[0.0, 0.0, 0.048727872313735314, 0.3027574568302074, 0.3127954558555696, 0.3357192150004878]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_5\7-Back_jpg.rf.ec790d99742254d7a9462098e1e1dc2b.jpg,7-Back_jpg.rf.ec790d99742254d7a9462098e1e1dc2b.jpg,5,5,"[0.0, 0.0, 0.10624110684315201, 0.44338364672066227, 0.3551415869074621, 0.09523365952872351]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_5\7-Back_jpg.rf.f592502d2a585b362e57b1603e1341f7.jpg,7-Back_jpg.rf.f592502d2a585b362e57b1603e1341f7.jpg,5,5,"[0.0, 0.3065559298070212, 0.0, 0.3481034998319676, 0.10252790115171338, 0.24281266920929787]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_5\8-Top-Down_jpg.rf.042fba88bc4051168aefb0e8be6fc102.jpg,8-Top-Down_jpg.rf.042fba88bc4051168aefb0e8be6fc102.jpg,5,7,"[0.20897861813557894, 0.09775283338521823, 0.04964842981910875, 0.10140154843262966, 0.0, 0.5422185702274643]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_5\8-Top-Down_jpg.rf.64eb924e3b25c504e6a195874d9b1b86.jpg,8-Top-Down_jpg.rf.64eb924e3b25c504e6a195874d9b1b86.jpg,5,7,"[0.04794037010239312, 0.1454617493841524, 0.0, 0.3043242259488451, 0.0, 0.5022736545646094]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_5\8-Top-Down_jpg.rf.ab2f489effed6fc25df79f5eceddd0b2.jpg,8-Top-Down_jpg.rf.ab2f489effed6fc25df79f5eceddd0b2.jpg,5,5,"[0.0, 0.0, 0.0, 0.5156692773237184, 0.1566860604264962, 0.32764466224978545]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_6\14-Right_jpg.rf.5755ea4784490b9ed9dc259d99cf4c98.jpg,14-Right_jpg.rf.5755ea4784490b9ed9dc259d99cf4c98.jpg,6,6,"[0.09522908384016497, 0.0, 0.0, 0.27037343414554943, 0.5894988348311032, 0.0448986471831826]",preprocessing_only,right
C:\Users\301\Desktop\classification_test\level_6\14-Right_jpg.rf.59b634c172e1e95cf3e0822f58fa001a.jpg,14-Right_jpg.rf.59b634c172e1e95cf3e0822f58fa001a.jpg,6,6,"[0.0, 0.0, 0.0966794018039383, 0.1953769511077217, 0.4628537398056857, 0.24508990728265434]",preprocessing_only,right
C:\Users\301\Desktop\classification_test\level_6\14-Right_jpg.rf.8db655d1ea07b8fea45c50c240cfac23.jpg,14-Right_jpg.rf.8db655d1ea07b8fea45c50c240cfac23.jpg,6,6,"[0.0, 0.07748077858865329, 0.0, 0.40073921040160104, 0.4810847104551872, 0.0406953005545584]",preprocessing_only,right
