image_path,filename,true_stage,pred_stage,probs,tta_method,viewpoint,scales_used,conv_scales,vit_scales
C:\Users\301\Desktop\classification_test\level_2\17-Right_jpg.rf.782c2bb91f35e43fb8eaf052b5574d8a.jpg,17-Right_jpg.rf.782c2bb91f35e43fb8eaf052b5574d8a.jpg,2,2,"[0.6851370513917904, 0.1858734260335783, 0.0, 0.10200266446588295, 0.0, 0.026986858108748353]",multiscale_tta,right,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_2\17-Right_jpg.rf.dc63da48e2e5f193db4924bbfa752f3c.jpg,17-Right_jpg.rf.dc63da48e2e5f193db4924bbfa752f3c.jpg,2,2,"[0.8561699120814972, 0.10570366992329357, 0.0, 0.0, 0.038126417995209126, 0.0]",multiscale_tta,right,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_2\2-Front_jpg.rf.35a68d2d601a29406f85567078d9a3d6.jpg,2-Front_jpg.rf.35a68d2d601a29406f85567078d9a3d6.jpg,2,2,"[0.5101230129459519, 0.2678880593810994, 0.11082591826943936, 0.0, 0.11116300940350952, 0.0]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_2\2-Front_jpg.rf.3cc295bb9f1747820fb458bee70b9c08.jpg,2-Front_jpg.rf.3cc295bb9f1747820fb458bee70b9c08.jpg,2,2,"[0.7106264809622245, 0.18223901160430853, 0.03589669391612807, 0.07123781351733889, 0.0, 0.0]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_2\2-Front_jpg.rf.c0344e8174b378670ae3ceb1ca976d1e.jpg,2-Front_jpg.rf.c0344e8174b378670ae3ceb1ca976d1e.jpg,2,2,"[0.6873415010685038, 0.31265849893149616, 0.0, 0.0, 0.0, 0.0]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_2\21-Front_jpg.rf.1dcd2eef5acfbccfa3e3a939a040d594.jpg,21-Front_jpg.rf.1dcd2eef5acfbccfa3e3a939a040d594.jpg,2,5,"[0.28422462288911404, 0.0, 0.22251401822124584, 0.3473319757529501, 0.051492868947173046, 0.09443651418951703]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_2\21-Front_jpg.rf.1fbb2566f3edeed5e8ea35e8fa5e36d5.jpg,21-Front_jpg.rf.1fbb2566f3edeed5e8ea35e8fa5e36d5.jpg,2,4,"[0.1842170468310843, 0.0, 0.32076128787755753, 0.24362012239928033, 0.21395021799906572, 0.037451324893012124]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_2\3-Left_jpg.rf.71bd5245375518d053cafe1e6d00b009.jpg,3-Left_jpg.rf.71bd5245375518d053cafe1e6d00b009.jpg,2,2,"[0.5401833391959756, 0.21794500172571513, 0.24187165907830924, 0.0, 0.0, 0.0]",multiscale_tta,left,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_2\3-Left_jpg.rf.8d1a756f854c8b59c3ab081a168c911e.jpg,3-Left_jpg.rf.8d1a756f854c8b59c3ab081a168c911e.jpg,2,2,"[0.8084663286549868, 0.0, 0.1915336713450131, 0.0, 0.0, 0.0]",multiscale_tta,left,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_2\3-Left_jpg.rf.b625a85ab014d51e6360ab03763a0915.jpg,3-Left_jpg.rf.b625a85ab014d51e6360ab03763a0915.jpg,2,2,"[0.5274091589861887, 0.0, 0.47259084101381144, 0.0, 0.0, 0.0]",multiscale_tta,left,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_3\14-Top-Down_jpg.rf.4b45c53745232f0d19c75e4d3d23a83d.jpg,14-Top-Down_jpg.rf.4b45c53745232f0d19c75e4d3d23a83d.jpg,3,3,"[0.34476192481958684, 0.5503463316931861, 0.104891743487227, 0.0, 0.0, 0.0]",multiscale_tta,top-down,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_3\14-Top-Down_jpg.rf.6b957da4a7dd73e8eac9170e95803c92.jpg,14-Top-Down_jpg.rf.6b957da4a7dd73e8eac9170e95803c92.jpg,3,3,"[0.233873538486619, 0.6139208954828841, 0.15220556603049681, 0.0, 0.0, 0.0]",multiscale_tta,top-down,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_3\14-Top-Down_jpg.rf.8e999527010751c5ede9fe141ea9bfe0.jpg,14-Top-Down_jpg.rf.8e999527010751c5ede9fe141ea9bfe0.jpg,3,2,"[0.5078483887086321, 0.3949154283052501, 0.04946604754781593, 0.04777013543830186, 0.0, 0.0]",multiscale_tta,top-down,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_3\17-Front_jpg.rf.4572009f1e7ce5a229e4d1a677d2ef62.jpg,17-Front_jpg.rf.4572009f1e7ce5a229e4d1a677d2ef62.jpg,3,3,"[0.1807411846250463, 0.21726774538186575, 0.1369598559612433, 0.11263175548551967, 0.19775451816165324, 0.15464494038467166]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_3\17-Front_jpg.rf.7af17ac5a5c4079bc04c778879f38d18.jpg,17-Front_jpg.rf.7af17ac5a5c4079bc04c778879f38d18.jpg,3,3,"[0.04403142811956974, 0.4811882677404639, 0.0, 0.14960128161105668, 0.2779513225635904, 0.04722769996531926]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_3\17-Front_jpg.rf.eefaab033d690dd5177ab049637d23b2.jpg,17-Front_jpg.rf.eefaab033d690dd5177ab049637d23b2.jpg,3,6,"[0.06893504048383992, 0.24229265571840153, 0.12462472671680429, 0.11426116835960112, 0.44988640872135305, 0.0]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_3\2-Front_jpg.rf.221c657f453018f17e2c1a93d494afe2.jpg,2-Front_jpg.rf.221c657f453018f17e2c1a93d494afe2.jpg,3,2,"[0.6012819715533972, 0.0, 0.1496947026830833, 0.14511465806281934, 0.0, 0.10390866770070016]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_3\2-Front_jpg.rf.ae37cf05d05732bce5439cf7cf132170.jpg,2-Front_jpg.rf.ae37cf05d05732bce5439cf7cf132170.jpg,3,2,"[0.52124053946294, 0.0, 0.23911461507972376, 0.1916931860745463, 0.0, 0.04795165938278993]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_3\2-Front_jpg.rf.f61274d0cbfe1240946f1138121ed3a4.jpg,2-Front_jpg.rf.f61274d0cbfe1240946f1138121ed3a4.jpg,3,2,"[0.5182558611587788, 0.0, 0.24161543458233772, 0.18131139931225623, 0.0, 0.05881730494662726]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_3\23-Front_jpg.rf.277f2482ced851f66f9916b9f3bf244e.jpg,23-Front_jpg.rf.277f2482ced851f66f9916b9f3bf244e.jpg,3,2,"[0.23466711488367545, 0.15516817573527747, 0.20663760626180736, 0.20885646825434606, 0.0, 0.19467063486489367]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_3\23-Front_jpg.rf.8c13f86da3e884e7a1dc466c8479ee89.jpg,23-Front_jpg.rf.8c13f86da3e884e7a1dc466c8479ee89.jpg,3,4,"[0.16206035646080238, 0.18967594151440034, 0.30980508429260617, 0.24350458670955405, 0.04894665961269744, 0.04600737140993962]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_3\23-Front_jpg.rf.c380c2deeb81c8605653c3efc9fb4465.jpg,23-Front_jpg.rf.c380c2deeb81c8605653c3efc9fb4465.jpg,3,4,"[0.0, 0.18953328614076476, 0.35299305386015245, 0.15831119227821383, 0.09388997934046435, 0.20527248838040468]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_3\23-Left_jpg.rf.53456665e57a2bb799e3deaab1f38340.jpg,23-Left_jpg.rf.53456665e57a2bb799e3deaab1f38340.jpg,3,6,"[0.036796496910289495, 0.24672542493315874, 0.0, 0.2613253426984929, 0.455152735458059, 0.0]",multiscale_tta,left,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_3\23-Left_jpg.rf.b0bda4a8339f7630de250636ee4210b5.jpg,23-Left_jpg.rf.b0bda4a8339f7630de250636ee4210b5.jpg,3,6,"[0.0, 0.1605959247245783, 0.1288673801111067, 0.08435417412794959, 0.5030078223053622, 0.12317469873100334]",multiscale_tta,left,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_3\23-Left_jpg.rf.bad5f473d56a0252a812237f2594cbf1.jpg,23-Left_jpg.rf.bad5f473d56a0252a812237f2594cbf1.jpg,3,3,"[0.13407167012276583, 0.31954296925146247, 0.09594578613247791, 0.2127316416274454, 0.14406789617185742, 0.09364003669399097]",multiscale_tta,left,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_3\34-Front_jpg.rf.56ca339ccf5e3b03d40bcdb466a0bcd6.jpg,34-Front_jpg.rf.56ca339ccf5e3b03d40bcdb466a0bcd6.jpg,3,2,"[0.32319702612165185, 0.18885821171028355, 0.25868915867901626, 0.08930786023545798, 0.09344656113105142, 0.04650118212253893]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_3\34-Front_jpg.rf.a34d0e21716d9be914d9cf8c606f7eb6.jpg,34-Front_jpg.rf.a34d0e21716d9be914d9cf8c606f7eb6.jpg,3,2,"[0.39282889311491004, 0.04612904536866877, 0.3034347719840882, 0.0, 0.15985749002923158, 0.09774979950310156]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_3\4-Left_jpg.rf.26c450bb0a47ba1c70e43e1f7e695f6a.jpg,4-Left_jpg.rf.26c450bb0a47ba1c70e43e1f7e695f6a.jpg,3,3,"[0.23632012227781665, 0.39412229923320713, 0.13024383390084676, 0.10188212718014741, 0.13743161740798196, 0.0]",multiscale_tta,left,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_3\4-Left_jpg.rf.891684e9f476f68a5ec1e451ca1421d0.jpg,4-Left_jpg.rf.891684e9f476f68a5ec1e451ca1421d0.jpg,3,4,"[0.18150637498357242, 0.07600862836666344, 0.4258304161966286, 0.14253063736087837, 0.08594229152305238, 0.08818165156920475]",multiscale_tta,left,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_3\4-Left_jpg.rf.a05742ff1a03b9957d7aecc2fa2a4d5d.jpg,4-Left_jpg.rf.a05742ff1a03b9957d7aecc2fa2a4d5d.jpg,3,2,"[0.30566928086735007, 0.14717288634889752, 0.30368806456748404, 0.15108736117925808, 0.09238240703701038, 0.0]",multiscale_tta,left,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_4\10-Front_jpg.rf.5c9f551ab0edf72160c243035a10b217.jpg,10-Front_jpg.rf.5c9f551ab0edf72160c243035a10b217.jpg,4,4,"[0.046105079245437115, 0.0, 0.49512749778787335, 0.2842795496601261, 0.17448787330656348, 0.0]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_4\10-Front_jpg.rf.8d5a525c907a916b48ca9cf936359734.jpg,10-Front_jpg.rf.8d5a525c907a916b48ca9cf936359734.jpg,4,4,"[0.13977933979746493, 0.04874610007383606, 0.2850095828656368, 0.25647120261050826, 0.269993774652554, 0.0]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_4\10-Front_jpg.rf.a08b89f8825c8ecfce4f70092416da22.jpg,10-Front_jpg.rf.a08b89f8825c8ecfce4f70092416da22.jpg,4,4,"[0.1283517415561095, 0.15364837871885081, 0.2477961768136333, 0.24310267263842833, 0.22710103027297826, 0.0]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_4\14-Top-Down_jpg.rf.187e34f31103c42d846c7413a2a02871.jpg,14-Top-Down_jpg.rf.187e34f31103c42d846c7413a2a02871.jpg,4,3,"[0.0, 0.6025887217291694, 0.39741127827083045, 0.0, 0.0, 0.0]",multiscale_tta,top-down,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_4\14-Top-Down_jpg.rf.1e5bc8fb61f881b86499411220318491.jpg,14-Top-Down_jpg.rf.1e5bc8fb61f881b86499411220318491.jpg,4,4,"[0.0, 0.09242443688831999, 0.759827798906711, 0.10273466443092617, 0.045013099774042824, 0.0]",multiscale_tta,top-down,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_4\14-Top-Down_jpg.rf.e2723f49054a0145202d57a1f2dc13e2.jpg,14-Top-Down_jpg.rf.e2723f49054a0145202d57a1f2dc13e2.jpg,4,4,"[0.0, 0.2197358098636256, 0.3953628155571758, 0.20377465042975912, 0.18112672414943945, 0.0]",multiscale_tta,top-down,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_4\15-Right_jpg.rf.5e85294873ec4911ce572abcc0750b63.jpg,15-Right_jpg.rf.5e85294873ec4911ce572abcc0750b63.jpg,4,4,"[0.13052595521769284, 0.2401444909546662, 0.48060451100430196, 0.04005614560980623, 0.0, 0.10866889721353278]",multiscale_tta,right,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_4\15-Right_jpg.rf.83d530c6b3270809c5fa10c22ee9a600.jpg,15-Right_jpg.rf.83d530c6b3270809c5fa10c22ee9a600.jpg,4,4,"[0.17986113799301365, 0.0, 0.6087505279815817, 0.07894455209190852, 0.0, 0.13244378193349618]",multiscale_tta,right,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_4\15-Right_jpg.rf.e8bf40298a6f9d9920adf5e7f0e49147.jpg,15-Right_jpg.rf.e8bf40298a6f9d9920adf5e7f0e49147.jpg,4,4,"[0.07417125315834551, 0.1444495516321996, 0.670827764951283, 0.0, 0.041124713162785355, 0.06942671709538634]",multiscale_tta,right,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_4\29-Left_jpg.rf.58ec6830e002ce7b7290212c68db2fdf.jpg,29-Left_jpg.rf.58ec6830e002ce7b7290212c68db2fdf.jpg,4,6,"[0.0, 0.14824574861328801, 0.20628174838627508, 0.11116770579574882, 0.5343047972046882, 0.0]",multiscale_tta,left,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_4\29-Left_jpg.rf.8f92a49a4698d2856f05b9c2d41e5a8f.jpg,29-Left_jpg.rf.8f92a49a4698d2856f05b9c2d41e5a8f.jpg,4,6,"[0.0, 0.08380408847084703, 0.29284366047012134, 0.11150221283351049, 0.5118500382255212, 0.0]",multiscale_tta,left,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_4\29-Left_jpg.rf.d8361c6722279a23a3f44340eb3a4232.jpg,29-Left_jpg.rf.d8361c6722279a23a3f44340eb3a4232.jpg,4,6,"[0.03494204737578981, 0.037128245286931295, 0.4194932771066621, 0.03712490010976632, 0.4713115301208505, 0.0]",multiscale_tta,left,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_4\30-Front_jpg.rf.18a9954f76da1eca244d942955010575.jpg,30-Front_jpg.rf.18a9954f76da1eca244d942955010575.jpg,4,5,"[0.046738803075967374, 0.09839818868794689, 0.14175822124134116, 0.5441795224662016, 0.041794560784175344, 0.12713070374436747]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_4\30-Front_jpg.rf.30fa7089bccb058f1b170c36dbca2d85.jpg,30-Front_jpg.rf.30fa7089bccb058f1b170c36dbca2d85.jpg,4,5,"[0.047653337809689555, 0.0, 0.33978455433985594, 0.4065079390765795, 0.04636081721228905, 0.15969335156158593]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_4\30-Front_jpg.rf.8e755c527eea690936f98828e9d36968.jpg,30-Front_jpg.rf.8e755c527eea690936f98828e9d36968.jpg,4,5,"[0.13330159041107817, 0.0, 0.2392265575353998, 0.4804017008125892, 0.049973955881965126, 0.09709619535896769]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_4\34-Top-Down_jpg.rf.684ea2985256d8cfa3367bba76cb9918.jpg,34-Top-Down_jpg.rf.684ea2985256d8cfa3367bba76cb9918.jpg,4,4,"[0.14647740385857325, 0.3402961067726514, 0.35950371671667697, 0.10202741629755603, 0.0516953563545424, 0.0]",multiscale_tta,top-down,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_4\34-Top-Down_jpg.rf.ea452c5c5b850c34cb61bcf1b07ed689.jpg,34-Top-Down_jpg.rf.ea452c5c5b850c34cb61bcf1b07ed689.jpg,4,5,"[0.0, 0.0, 0.31112663515216177, 0.3917677721076338, 0.2472692085673322, 0.049836384172872214]",multiscale_tta,top-down,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_4\37-Front_jpg.rf.00c1330743ba92bbcba13fca829b8152.jpg,37-Front_jpg.rf.00c1330743ba92bbcba13fca829b8152.jpg,4,4,"[0.1996145048780471, 0.15083252470426586, 0.34493723798163406, 0.10543978615795666, 0.19917594627809626, 0.0]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_4\37-Front_jpg.rf.7bc9747d319dac74eda1d8d43d48dc4b.jpg,37-Front_jpg.rf.7bc9747d319dac74eda1d8d43d48dc4b.jpg,4,6,"[0.23475698366277686, 0.051156486314193596, 0.11299596760921243, 0.09425250632790272, 0.41022951990232587, 0.09660853618358851]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_4\37-Front_jpg.rf.a2bdd9935cfcc136ff0630bcfc53f51e.jpg,37-Front_jpg.rf.a2bdd9935cfcc136ff0630bcfc53f51e.jpg,4,4,"[0.20098674312177803, 0.22377728430324745, 0.33038950148146207, 0.15566224011418275, 0.08918423097932973, 0.0]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_5\1-Front_jpg.rf.b6db8d0922087d143049a8386cf1a629.jpg,1-Front_jpg.rf.b6db8d0922087d143049a8386cf1a629.jpg,5,2,"[0.4881850121829562, 0.0, 0.05960919441972508, 0.02942005673005108, 0.34576774169405355, 0.07701799497321407]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_5\1-Front_jpg.rf.bf21f15d52b878a5878f74f984344731.jpg,1-Front_jpg.rf.bf21f15d52b878a5878f74f984344731.jpg,5,2,"[0.3387019033839743, 0.2052414097523406, 0.09346380217519025, 0.0371981967663329, 0.325394687922162, 0.0]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_5\1-Front_jpg.rf.f738745e12ca049570ab4eb8b2097ac8.jpg,1-Front_jpg.rf.f738745e12ca049570ab4eb8b2097ac8.jpg,5,2,"[0.3408504576148294, 0.03304206865865982, 0.21427119975277328, 0.08293187636350995, 0.29486761182881993, 0.034036785781407605]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_5\10-Top-Down_jpg.rf.1d94c5fbe8ed8721ee8adbd1c8a90812.jpg,10-Top-Down_jpg.rf.1d94c5fbe8ed8721ee8adbd1c8a90812.jpg,5,6,"[0.0, 0.04560162912125005, 0.19128865229641304, 0.09614105284079814, 0.5737107144584824, 0.09325795128305628]",multiscale_tta,top-down,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_5\10-Top-Down_jpg.rf.cbedc260ae70ecbc19e13d8d09e1c3bc.jpg,10-Top-Down_jpg.rf.cbedc260ae70ecbc19e13d8d09e1c3bc.jpg,5,6,"[0.044796204704172705, 0.16250051433844515, 0.15444296032754196, 0.3014699133355799, 0.3367904072942604, 0.0]",multiscale_tta,top-down,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_5\12-Front_jpg.rf.1563c8995b2004e52202c0d4236da9b6.jpg,12-Front_jpg.rf.1563c8995b2004e52202c0d4236da9b6.jpg,5,5,"[0.0, 0.04498671564271129, 0.04589146518777809, 0.5664332390082748, 0.1466700371435122, 0.19601854301772362]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_5\12-Front_jpg.rf.8b5b02965f8e1e39e02846f165f5c508.jpg,12-Front_jpg.rf.8b5b02965f8e1e39e02846f165f5c508.jpg,5,5,"[0.0, 0.03772133775252787, 0.0, 0.4448552402208707, 0.4433078235379582, 0.07411559848864324]",multiscale_tta,front,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_5\26-Right_jpg.rf.45329ef32fd3c12868e1b7ec9352ae0d.jpg,26-Right_jpg.rf.45329ef32fd3c12868e1b7ec9352ae0d.jpg,5,5,"[0.09267332221994605, 0.28338192917359095, 0.19215361820568252, 0.3360157172752202, 0.09577541312556011, 0.0]",multiscale_tta,right,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_5\6-Back_jpg.rf.0d470c6b703d86356f8dd7938a2142fe.jpg,6-Back_jpg.rf.0d470c6b703d86356f8dd7938a2142fe.jpg,5,6,"[0.20560581179966164, 0.260052919991906, 0.0, 0.04745571051091646, 0.48688555769751596, 0.0]",multiscale_tta,back,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_5\6-Back_jpg.rf.0efecc6ac0b69769379078787bd5a49c.jpg,6-Back_jpg.rf.0efecc6ac0b69769379078787bd5a49c.jpg,5,6,"[0.38126171720346025, 0.0, 0.0, 0.0, 0.38249131473518544, 0.2362469680613543]",multiscale_tta,back,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_5\6-Back_jpg.rf.feb81f6ca5acda5b6285fef947c04f0c.jpg,6-Back_jpg.rf.feb81f6ca5acda5b6285fef947c04f0c.jpg,5,6,"[0.14449559265694084, 0.21290350624744075, 0.0, 0.0891666459449266, 0.5534342551506918, 0.0]",multiscale_tta,back,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_5\6-Top-Down_jpg.rf.00377fdc3043b8e924208e6be32f8439.jpg,6-Top-Down_jpg.rf.00377fdc3043b8e924208e6be32f8439.jpg,5,6,"[0.0, 0.0, 0.17029214825336092, 0.2550452444051646, 0.49020588871692633, 0.08445671862454818]",multiscale_tta,top-down,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_5\6-Top-Down_jpg.rf.ddc24955e0afca570f1d28fe40351d03.jpg,6-Top-Down_jpg.rf.ddc24955e0afca570f1d28fe40351d03.jpg,5,7,"[0.0, 0.0, 0.16713121012863713, 0.3352031849472742, 0.12282493899748796, 0.37484066592660087]",multiscale_tta,top-down,"[256, 384]","[256, 384]",[224]
C:\Users\301\Desktop\classification_test\level_5\6-Top-Down_jpg.rf.f46d82b2da9158d9f61e18922c9688a0.jpg,6-Top-Down_jpg.rf.f46d82b2da9158d9f61e18922c9688a0.jpg,5,5,"[0.0, 0.0, 0.06970632732863194, 0.5184126823691809, 0.3151025128815258, 0.09677847742066138]",multiscale_tta,top-down,"[256, 384]","[256, 384]",[224]
